// SR1 Audio Analyzer: 6/2/2023 11:55:25 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
0,0.0413148894565882
0.976569122783222,0.0330521339711889
1.95313824556644,0.0165264582633643
2.92970736834967,0.00472211028850753
3.90627649113289,0.000590389835953038
4.88284561391611,8.26687784471561E-7
5.85941473669933,6.7125575593107E-7
6.83598385948255,6.97814920657413E-7
7.81255298226578,7.47653466262721E-7
8.789122105049,7.99309375633782E-7
9.76569122783222,9.53410127518926E-7
10.7422603506154,1.03632613503499E-6
11.7188294733987,9.18358861602528E-7
12.6953985961819,6.715811780742E-7
13.6719677189651,4.97029402977216E-7
14.6485368417483,5.30393054236105E-7
15.6251059645316,5.84285953418918E-7
16.6016750873148,6.33037920837419E-7
17.578244210098,6.70442075463775E-7
18.5548133328812,6.4084249199628E-7
19.5313824556644,5.75819587077301E-7
20.5079515784477,4.99841620804096E-7
21.4845207012309,4.40808516052024E-7
22.4610898240141,5.55209676152635E-7
23.4376589467973,7.12007750829647E-7
24.4142280695806,7.28838263965796E-7
25.3907971923638,6.58082746760845E-7
26.367366315147,6.30384502353027E-7
27.3439354379302,6.66511208391644E-7
28.3205045607134,7.07376755813273E-7
29.2970736834967,6.53753829719752E-7
30.2736428062799,5.65081289858295E-7
31.2502119290631,5.93518136353582E-7
32.2267810518463,6.19187464198781E-7
33.2033501746295,5.47547569248126E-7
34.1799192974128,4.50396161921181E-7
35.156488420196,4.28741096354847E-7
36.1330575429792,4.77890713628232E-7
37.1096266657624,5.47931835203779E-7
38.0861957885457,5.59972959369907E-7
39.0627649113289,5.43782729327631E-7
40.0393340341121,5.71974747049968E-7
41.0159031568953,6.40719478736162E-7
41.9924722796786,6.61843725492572E-7
42.9690414024618,5.83916814342876E-7
43.945610525245,5.32850794404316E-7
44.9221796480282,5.54350552136886E-7
45.8987487708114,5.9359858346106E-7
46.8753178935947,6.37049801579718E-7
47.8518870163779,5.83642232237161E-7
48.8284561391611,4.5267969433424E-7
49.8050252619443,4.24012725982708E-7
50.7815943847275,5.09860271642001E-7
51.7581635075108,5.71881527199718E-7
52.734732630294,5.27846041496925E-7
53.7113017530772,4.68132972436937E-7
54.6878708758604,5.20875165106046E-7
55.6644399986437,5.57908882664603E-7
56.6410091214269,5.06359749061439E-7
57.6175782442101,5.33793866465343E-7
58.5941473669933,1.06815711286216E-6
59.5707164897765,1.64258813426824E-6
60.5472856125598,1.62343986198423E-6
61.523854735343,1.0453255957379E-6
62.5004238581262,5.26056381411334E-7
63.4769929809094,4.46682146267772E-7
64.4535621036927,5.58380356634839E-7
65.4301312264759,6.73174134529534E-7
66.4067003492591,6.39830141301523E-7
67.3832694720423,4.89864581783742E-7
68.3598385948255,4.15809702062133E-7
69.3364077176088,4.39842430960191E-7
70.312976840392,4.6941566352905E-7
71.2895459631752,4.58184112234259E-7
72.2661150859584,4.28189755606789E-7
73.2426842087416,4.60943933524511E-7
74.2192533315249,5.68162794763736E-7
75.1958224543081,6.50242657030691E-7
76.1723915770913,6.20998955946011E-7
77.1489606998745,4.98154007820903E-7
78.1255298226578,4.07842208626849E-7
79.102098945441,4.15970366987998E-7
80.0786680682242,4.83987136336381E-7
81.0552371910074,5.53759230028409E-7
82.0318063137907,5.86695433285965E-7
83.0083754365739,5.77636078875729E-7
83.9849445593571,4.99233461256534E-7
84.9615136821403,3.8613749866277E-7
85.9380828049235,3.19519175022517E-7
86.9146519277068,3.61517956115094E-7
87.89122105049,4.47493087614228E-7
88.8677901732732,4.74839345784168E-7
89.8443592960564,4.52272494325506E-7
90.8209284188397,4.35624196228255E-7
91.7974975416229,4.16937069946297E-7
92.7740666644061,4.25209644033047E-7
93.7506357871893,4.30008096959397E-7
94.7272049099725,3.73071569442563E-7
95.7037740327558,3.51125753385788E-7
96.680343155539,3.86597903316059E-7
97.6569122783222,3.9244141760105E-7
98.6334814011054,3.61302801170955E-7
99.6100505238886,3.34909028944352E-7
100.586619646672,3.48551363977769E-7
101.563188769455,3.91553315485667E-7
102.539757892238,4.50887015652475E-7
103.516327015022,4.93627011293326E-7
104.492896137805,4.85389658898138E-7
105.469465260588,4.53824869365841E-7
106.446034383371,3.98411328664135E-7
107.422603506154,3.68780739966842E-7
108.399172628938,3.99906540140359E-7
109.375741751721,4.00135597961588E-7
110.352310874504,3.68629938309811E-7
111.328879997287,3.44769394293733E-7
112.305449120071,3.52091797076673E-7
113.282018242854,3.86662750005248E-7
114.258587365637,3.82754701823531E-7
115.23515648842,3.59427907525041E-7
116.211725611203,3.5814364161775E-7
117.188294733987,3.63942152013949E-7
118.16486385677,4.30764403599801E-7
119.141432979553,6.23652869590524E-7
120.118002102336,7.2140085262855E-7
121.09457122512,5.52236993126365E-7
122.071140347903,3.23253204376745E-7
123.047709470686,3.16326238638273E-7
124.024278593469,3.4474250060097E-7
125.000847716252,3.12109993033059E-7
125.977416839036,2.70505158097286E-7
126.953985961819,2.79067541147613E-7
127.930555084602,2.93304863682577E-7
128.907124207385,2.91861670196281E-7
129.883693330169,3.08326623090345E-7
130.860262452952,3.1010139744538E-7
131.836831575735,2.90020371623866E-7
132.813400698518,2.74295384475088E-7
133.789969821301,2.59587774977189E-7
134.766538944085,2.86863621108587E-7
135.743108066868,3.41748771491939E-7
136.719677189651,3.81140123642378E-7
137.696246312434,4.01684340580263E-7
138.672815435218,4.07448198180382E-7
139.649384558001,3.83620098081493E-7
140.625953680784,3.31777231192799E-7
141.602522803567,2.91460331792626E-7
142.57909192635,2.82889229820006E-7
143.555661049134,2.91430671913227E-7
144.532230171917,2.94963303137243E-7
145.5087992947,2.78714900867395E-7
146.485368417483,2.59310621600143E-7
147.461937540267,2.4994104263442E-7
148.43850666305,2.4273784952662E-7
149.415075785833,2.18156242723242E-7
150.391644908616,2.0411675163125E-7
151.368214031399,2.43393110943321E-7
152.344783154183,2.73671641895871E-7
153.321352276966,2.75344815632316E-7
154.297921399749,2.69065261037445E-7
155.274490522532,2.58916299293964E-7
156.251059645316,2.63253918037061E-7
157.227628768099,2.68314972478207E-7
158.204197890882,2.67162547924452E-7
159.180767013665,2.4817994068724E-7
160.157336136448,1.89742392726926E-7
161.133905259232,1.31093798189052E-7
162.110474382015,1.41960237523998E-7
163.087043504798,1.75279804280634E-7
164.063612627581,1.9284087675199E-7
165.040181750365,1.99053515176096E-7
166.016750873148,2.12963766310896E-7
166.993319995931,2.36616782224644E-7
167.969889118714,2.41556420977277E-7
