// SR1 Audio Analyzer: 6/2/2023 11:40:46 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
0,1.01697681092931E-5
1.95307201953072,8.13412283402849E-6
3.90614403906144,4.06240457280327E-6
5.85921605859216,1.15353492885654E-6
7.81228807812288,1.36287495970895E-7
9.7653600976536,1.27642941122222E-8
11.7184321171843,9.70435389055929E-9
13.671504136715,8.24630115209977E-9
15.6245761562458,9.78672553853634E-9
17.5776481757765,1.26602331154193E-8
19.5307201953072,1.39952808925786E-8
21.4837922148379,1.34261349420011E-8
23.4368642343686,1.51845475100123E-8
25.3899362538994,2.34543724625495E-8
27.3430082734301,3.10030440995787E-8
29.2960802929608,2.86236538569201E-8
31.2491523124915,1.81211484684034E-8
33.2022243320222,9.62764896700844E-9
35.155296351553,8.2209473407241E-9
37.1083683710837,9.31870716235165E-9
39.0614403906144,1.05023720962846E-8
41.0145124101451,1.28732718745872E-8
42.9675844296758,1.54452956378336E-8
44.9206564492066,1.5116598885344E-8
46.8737284687373,1.1808518398316E-8
48.826800488268,8.95050139937263E-9
50.7798725077987,8.54872750294988E-9
52.7329445273295,8.48197913477714E-9
54.6860165468602,8.55221947277497E-9
56.6390885663909,8.60794566674925E-9
58.5921605859216,9.54738754352329E-9
60.5452326054523,1.04430367693781E-8
62.4983046249831,8.87231897410852E-9
64.4513766445138,6.71744406506501E-9
66.4044486640445,5.53570242324488E-9
68.3575206835752,5.37134687393963E-9
70.3105927031059,6.88135870968302E-9
72.2636647226366,7.97521071035974E-9
74.2167367421674,8.12256677933082E-9
76.1698087616981,8.12352242935751E-9
78.1228807812288,7.63686428827052E-9
80.0759528007595,6.65187742673808E-9
82.0290248202902,8.3681676140842E-9
83.982096839821,1.04367602177031E-8
85.9351688593517,9.10937027953229E-9
87.8882408788824,6.13965315691584E-9
89.8413128984131,4.55080276932406E-9
91.7943849179439,5.54983084547514E-9
93.7474569374746,8.11251115900884E-9
95.7005289570053,9.48181626018321E-9
97.653600976536,9.54050906766185E-9
99.6066729960667,8.92601220257442E-9
101.559745015597,7.4822050344204E-9
103.512817035128,5.91889583692524E-9
105.465889054659,4.77078347636838E-9
107.41896107419,4.48134949433881E-9
109.37203309372,5.00846701420656E-9
111.325105113251,5.24160974951238E-9
113.278177132782,5.5653155846877E-9
115.231249152312,5.98538138653434E-9
117.184321171843,5.94892678218284E-9
119.137393191374,6.00450557776694E-9
121.090465210905,6.59457008629277E-9
123.043537230435,7.51552337701773E-9
124.996609249966,8.13253422413697E-9
126.949681269497,7.77859086935937E-9
128.902753289028,6.75081484134277E-9
130.855825308558,6.12006229645738E-9
132.808897328089,6.43889162407538E-9
134.76196934762,7.09032688176241E-9
136.71504136715,8.54825147263061E-9
138.668113386681,1.01733212322648E-8
140.621185406212,9.92429896759622E-9
142.574257425743,8.00996659103835E-9
144.527329445273,6.1779255028777E-9
146.480401464804,5.21427659744983E-9
148.433473484335,5.33806710884688E-9
150.386545503865,5.89039771578195E-9
152.339617523396,5.57172816277323E-9
154.292689542927,4.94866907164828E-9
156.245761562458,5.68642255430441E-9
158.198833581988,6.89081850218398E-9
160.151905601519,6.66880501577736E-9
162.10497762105,5.21999152744195E-9
164.05804964058,4.50161478090227E-9
166.011121660111,4.96106000208623E-9
167.964193679642,5.3062314401636E-9
169.917265699173,6.04261131364141E-9
171.870337718703,6.73067351250482E-9
173.823409738234,6.6356321448817E-9
175.776481757765,6.38513303130725E-9
177.729553777296,6.08577447852236E-9
179.682625796826,5.90010022766056E-9
181.635697816357,5.76869876037696E-9
183.588769835888,5.43884592920091E-9
185.541841855418,5.68481771811886E-9
187.494913874949,6.86437517775804E-9
189.44798589448,8.13588201131813E-9
191.401057914011,8.26861084525349E-9
193.354129933541,7.28071202276137E-9
195.307201953072,5.4359633945223E-9
197.260273972603,3.1853766635637E-9
199.213345992133,3.61980128291915E-9
201.166418011664,5.89170885414821E-9
203.119490031195,7.18214544445249E-9
205.072562050726,7.15289766743683E-9
207.025634070256,5.87282210592581E-9
208.978706089787,4.42254949773321E-9
210.931778109318,4.83256618497595E-9
212.884850128849,6.03561419517954E-9
214.837922148379,6.23601169567671E-9
