// SR1 Audio Analyzer: 6/2/2023 12:53:39 PM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,Vrms
113.28125,4.47453269332314E-7
113.76953125,4.81994293185782E-7
114.2578125,4.54727368352335E-7
114.74609375,4.02592231233865E-7
115.234375,3.8448408248223E-7
115.72265625,4.60492357262691E-7
116.2109375,5.49753734989897E-7
116.69921875,5.28264536211119E-7
117.1875,4.27347152471508E-7
117.67578125,3.84239912419531E-7
118.1640625,3.80904301682138E-7
118.65234375,4.22348894900144E-7
119.140625,6.62243887319124E-7
119.62890625,1.00907237486683E-6
120.1171875,1.13050220492368E-6
120.60546875,9.10533795594171E-7
121.09375,5.81421216477245E-7
121.58203125,3.9935532399253E-7
122.0703125,3.81061251089058E-7
122.55859375,3.87630370169486E-7
123.046875,3.69662990262478E-7
123.53515625,3.72397172256067E-7
124.0234375,4.04566924260805E-7
124.51171875,4.12141502948044E-7
125,3.57017013357197E-7
125.48828125,2.91385382285044E-7
125.9765625,3.25997480729613E-7
126.46484375,3.92499505335874E-7
126.953125,4.14810250529385E-7
127.44140625,4.22004910160367E-7
127.9296875,4.21956843302054E-7
128.41796875,3.99075256305103E-7
128.90625,3.80533833015886E-7
129.39453125,3.88610539876593E-7
129.8828125,3.92717031251654E-7
130.37109375,3.64223039347826E-7
130.859375,3.27659847378837E-7
131.34765625,3.14591987432193E-7
131.8359375,3.31130848525763E-7
132.32421875,3.54196126065857E-7
132.8125,3.79092664577211E-7
133.30078125,4.03392653673704E-7
133.7890625,4.01510086588896E-7
134.27734375,3.70517448678155E-7
134.765625,3.61837294010024E-7
135.25390625,3.62685604514231E-7
135.7421875,3.46526027418915E-7
136.23046875,3.27738624195881E-7
136.71875,3.05159782521185E-7
137.20703125,2.78861559292174E-7
137.6953125,2.60755729065078E-7
138.18359375,2.5338446840627E-7
138.671875,2.66853150174966E-7
139.16015625,2.89063125692217E-7
139.6484375,2.91868858063659E-7
140.13671875,2.86463150586258E-7
140.625,2.9649171227402E-7
141.11328125,3.22015336768174E-7
141.6015625,3.49248157691779E-7
142.08984375,3.61974482218109E-7
142.578125,3.41329193847138E-7
143.06640625,3.08309781048639E-7
143.5546875,3.19817785075993E-7
144.04296875,3.26403639710044E-7
144.53125,2.86739224542755E-7
145.01953125,2.68745456965423E-7
145.5078125,3.07130306200697E-7
145.99609375,3.22794362003335E-7
146.484375,2.81111131384305E-7
146.97265625,2.39401267292281E-7
147.4609375,2.49653806413791E-7
147.94921875,2.57865236473145E-7
148.4375,2.63794238500689E-7
148.92578125,2.78893413013893E-7
149.4140625,2.69297423491814E-7
149.90234375,2.57735386639818E-7
150.390625,2.72401018754497E-7
150.87890625,2.707944208433E-7
151.3671875,2.67698169426288E-7
151.85546875,2.82840609906822E-7
152.34375,2.58279270471952E-7
152.83203125,2.24192606529851E-7
153.3203125,2.28668311354693E-7
153.80859375,2.33459379543783E-7
154.296875,2.19683027837577E-7
154.78515625,2.1601894109192E-7
155.2734375,2.37247990079302E-7
155.76171875,2.59310922760419E-7
156.25,2.71009581596419E-7
156.73828125,2.91186105096406E-7
157.2265625,3.1733684393844E-7
157.71484375,3.25694448167715E-7
158.203125,2.99679346547426E-7
158.69140625,2.51669582673128E-7
159.1796875,2.21067196934774E-7
159.66796875,2.27595889945728E-7
160.15625,2.634297955067E-7
160.64453125,2.98430283816591E-7
161.1328125,3.02401368539353E-7
161.62109375,2.93360191096495E-7
162.109375,2.81470475096168E-7
162.59765625,2.62188265528549E-7
163.0859375,2.52280366345842E-7
163.57421875,2.56481804640051E-7
164.0625,2.67298329094223E-7
164.55078125,2.86347538430788E-7
165.0390625,3.00422843830565E-7
165.52734375,2.8794958244529E-7
166.015625,2.54706026140806E-7
166.50390625,2.20094364938071E-7
166.9921875,2.06257790123454E-7
167.48046875,2.13306470061227E-7
167.96875,2.19552169376664E-7
168.45703125,2.14747489179807E-7
168.9453125,2.15847384124433E-7
169.43359375,2.35518809818007E-7
169.921875,2.49170697343932E-7
170.41015625,2.45358028420813E-7
170.8984375,2.23034738237217E-7
171.38671875,1.98778794311128E-7
171.875,2.00041419940047E-7
172.36328125,2.28694099536517E-7
172.8515625,2.49795704831334E-7
173.33984375,2.52381940382617E-7
173.828125,2.63117862972853E-7
174.31640625,2.75248605343426E-7
174.8046875,2.65816249512796E-7
175.29296875,2.60552232351402E-7
175.78125,2.63882331530046E-7
176.26953125,2.34039522923173E-7
176.7578125,1.89394323705627E-7
177.24609375,1.88945488103871E-7
177.734375,2.20650803548417E-7
178.22265625,2.40733766002732E-7
178.7109375,2.3269788916579E-7
179.19921875,2.99146052927133E-7
179.6875,4.70570136539613E-7
180.17578125,5.43446359105862E-7
180.6640625,4.3111034691382E-7
181.15234375,2.55907917663465E-7
181.640625,1.61882130086177E-7
182.12890625,1.79595553975084E-7
182.6171875,2.20661860981706E-7
183.10546875,2.30932402456743E-7
183.59375,2.13428782465405E-7
184.08203125,1.7532343175332E-7
184.5703125,1.39050504007164E-7
185.05859375,1.42523483476829E-7
185.546875,1.65648850751957E-7
186.03515625,1.7185607477191E-7
186.5234375,1.7008691993113E-7
187.01171875,1.70629369343582E-7
187.5,1.70237560922596E-7
187.98828125,1.69606974104632E-7
188.4765625,1.89909661464135E-7
188.96484375,2.28956193109461E-7
189.453125,2.49852632784809E-7
189.94140625,2.27447089373774E-7
190.4296875,1.94169628289425E-7
190.91796875,1.81377981160951E-7
191.40625,1.72105518567688E-7
191.89453125,1.81434367668875E-7
192.3828125,2.07145766891489E-7
192.87109375,2.16037175430945E-7
193.359375,2.07884598145977E-7
193.84765625,1.95632803643788E-7
194.3359375,1.81146350469593E-7
194.82421875,1.69080115365561E-7
195.3125,1.64344231194766E-7
195.80078125,1.73370279481609E-7
196.2890625,1.87010578450011E-7
196.77734375,1.93967454611975E-7
197.265625,1.99655291886669E-7
197.75390625,2.02270003848609E-7
198.2421875,1.84837224678745E-7
198.73046875,1.4905282578518E-7
199.21875,1.32471438400934E-7
199.70703125,1.56050780695631E-7
200.1953125,1.7163346793199E-7
200.68359375,1.62710881731035E-7
201.171875,1.66580046345565E-7
201.66015625,1.91458826898296E-7
202.1484375,2.11320242008346E-7
202.63671875,2.19372083140447E-7
203.125,2.15363482185051E-7
203.61328125,2.08139663866206E-7
204.1015625,2.02030284092241E-7
204.58984375,1.79876005338129E-7
205.078125,1.54070793040398E-7
205.56640625,1.38193445089715E-7
206.0546875,1.28492707190694E-7
206.54296875,1.52501849226837E-7
207.03125,1.96558789855986E-7
207.51953125,2.16726011683725E-7
208.0078125,2.06227827007903E-7
208.49609375,1.75812327479616E-7
208.984375,1.36051200304962E-7
209.47265625,1.13504926771077E-7
209.9609375,1.30441810948151E-7
210.44921875,1.52736018843555E-7
210.9375,1.45927186279197E-7
211.42578125,1.2986046659794E-7
211.9140625,1.35519508906376E-7
212.40234375,1.3947021745355E-7
212.890625,1.34759663311094E-7
213.37890625,1.37316853825819E-7
213.8671875,1.4962175437712E-7
214.35546875,1.5671430057845E-7
214.84375,1.44554677717149E-7
215.33203125,1.29520945005177E-7
215.8203125,1.34930363366972E-7
216.30859375,1.52175970374944E-7
216.796875,1.60941777390132E-7
217.28515625,1.52611468356839E-7
217.7734375,1.38949726402161E-7
218.26171875,1.49306911753298E-7
218.75,1.80092228902181E-7
219.23828125,1.89756762093794E-7
219.7265625,1.68474433861569E-7
220.21484375,1.46957241108143E-7
220.703125,1.45650604165751E-7
221.19140625,1.50826245530412E-7
221.6796875,1.50191106352438E-7
222.16796875,1.42402045454045E-7
222.65625,1.34728980606197E-7
223.14453125,1.2882402247244E-7
223.6328125,1.19842140139305E-7
224.12109375,1.23353973336032E-7
224.609375,1.48168460345467E-7
225.09765625,1.59124524719082E-7
225.5859375,1.4373013310137E-7
226.07421875,1.31070058022735E-7
226.5625,1.35031849418726E-7
227.05078125,1.32477810180016E-7
227.5390625,1.23278396306933E-7
228.02734375,1.1759960356445E-7
228.515625,1.10918477224906E-7
229.00390625,1.14358489786517E-7
229.4921875,1.25170949717246E-7
229.98046875,1.3318696363235E-7
230.46875,1.36313404490765E-7
230.95703125,1.38150839613072E-7
231.4453125,1.4518335240714E-7
