// SR1 Audio Analyzer: 6/2/2023 1:09:56 PM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,Vrms
152.83203125,4.42002058886155E-9
153.3203125,6.69430630859121E-9
153.80859375,6.52767503378356E-9
154.296875,7.19589840967549E-9
154.78515625,8.40831055149922E-9
155.2734375,8.62553795824408E-9
155.76171875,7.65895414525804E-9
156.25,5.08877441215193E-9
156.73828125,3.05859801841424E-9
157.2265625,5.61091980459254E-9
157.71484375,8.55522543346722E-9
158.203125,1.01310340792292E-8
158.69140625,9.25475836392492E-9
159.1796875,6.26890817035829E-9
159.66796875,3.30472348958296E-9
160.15625,1.8986732621069E-9
160.64453125,1.31739038924566E-9
161.1328125,9.78951018102187E-10
161.62109375,2.5619255444479E-9
162.109375,4.07033033952885E-9
162.59765625,3.58029637205512E-9
163.0859375,1.51245836762795E-9
163.57421875,2.86219576738114E-9
164.0625,4.61036544996235E-9
164.55078125,4.44642365161586E-9
165.0390625,3.52309622663048E-9
165.52734375,3.64730818097554E-9
166.015625,4.11689990491014E-9
166.50390625,2.42301787957425E-9
166.9921875,2.70012101200237E-9
167.48046875,4.98837626625182E-9
167.96875,4.46525528975191E-9
168.45703125,2.48788722506349E-9
168.9453125,3.3473320764995E-9
169.43359375,7.80553608932625E-9
169.921875,1.23104280072322E-8
170.41015625,1.47285053251001E-8
170.8984375,1.34145029021995E-8
171.38671875,8.99005466138272E-9
171.875,4.07534881384249E-9
172.36328125,4.14008551066172E-10
172.8515625,1.77351716863175E-9
173.33984375,1.7554612738959E-9
173.828125,1.30294942721944E-9
174.31640625,3.02407088025322E-9
174.8046875,2.53834566040865E-9
175.29296875,4.03647844485719E-9
175.78125,4.91768961061204E-9
176.26953125,2.33162331902835E-9
176.7578125,2.03818067605857E-9
177.24609375,6.05961217016746E-9
177.734375,9.10767799067753E-9
178.22265625,1.0776510448776E-8
178.7109375,1.05503265407022E-8
179.19921875,7.59897730892009E-9
179.6875,3.18678640919525E-9
180.17578125,4.66195016295227E-9
180.6640625,7.8022822425132E-9
181.15234375,9.88099875774913E-9
181.640625,1.12316219451385E-8
182.12890625,1.12390727593018E-8
182.6171875,9.48136012733775E-9
183.10546875,6.60080962631974E-9
183.59375,4.29955120176751E-9
184.08203125,4.71053683071634E-9
184.5703125,7.37310896372159E-9
185.05859375,9.9613605701455E-9
185.546875,1.07720635947095E-8
186.03515625,9.53405191044284E-9
186.5234375,7.30861400022347E-9
187.01171875,5.2290118391214E-9
187.5,3.92883321108287E-9
187.98828125,3.19246795061108E-9
188.4765625,1.92260247223273E-9
188.96484375,1.78712979521541E-9
189.453125,2.85279932509763E-9
189.94140625,4.16186683643752E-9
190.4296875,5.03675395698818E-9
190.91796875,4.73617280357025E-9
191.40625,4.22394411902297E-9
191.89453125,4.91641895567943E-9
192.3828125,5.64666540518903E-9
192.87109375,4.45762449043544E-9
193.359375,2.44640524251815E-9
193.84765625,6.21523104124558E-9
194.3359375,1.11054749614383E-8
194.82421875,1.39653079024563E-8
195.3125,1.290893921448E-8
195.80078125,8.48496556625563E-9
196.2890625,4.10303825998726E-9
196.77734375,2.39683067545588E-9
197.265625,2.1559796855375E-9
197.75390625,2.28632379099746E-9
198.2421875,2.89632453488826E-9
198.73046875,5.03301846354196E-9
199.21875,1.10563553930606E-8
199.70703125,1.84691254972512E-8
200.1953125,2.16171944685641E-8
200.68359375,1.85101458183045E-8
201.171875,1.24698887140687E-8
201.66015625,7.17760467192155E-9
202.1484375,3.85379428390736E-9
202.63671875,2.2406419998787E-9
203.125,3.16496716086363E-9
203.61328125,5.6322693159709E-9
204.1015625,6.48780016621673E-9
204.58984375,4.9169766421347E-9
205.078125,4.02983500436346E-9
205.56640625,3.39445668212955E-9
206.0546875,1.86363741750251E-9
206.54296875,7.39474704440302E-9
207.03125,1.08286606005071E-8
207.51953125,9.94063693808979E-9
208.0078125,6.93854338147276E-9
208.49609375,6.21273082314374E-9
208.984375,6.58824768357987E-9
209.47265625,5.18253179743964E-9
209.9609375,2.64194858734541E-9
210.44921875,8.40017031562265E-10
210.9375,1.37130845130409E-9
211.42578125,5.9059423235609E-9
211.9140625,1.1460957546149E-8
212.40234375,1.39015076230567E-8
212.890625,1.19588519920445E-8
213.37890625,7.96499005014974E-9
213.8671875,5.3197405153542E-9
214.35546875,4.71982953354297E-9
214.84375,4.40702405849582E-9
215.33203125,3.18246344245682E-9
215.8203125,2.06552416652317E-9
216.30859375,6.85397955237748E-9
216.796875,1.06656664483982E-8
217.28515625,1.05777907885908E-8
217.7734375,7.46912922635036E-9
218.26171875,5.55639854668861E-9
218.75,8.36137411968419E-9
219.23828125,9.68106562665577E-9
219.7265625,8.26107175954008E-9
220.21484375,5.83470187642715E-9
220.703125,3.68237797804465E-9
221.19140625,4.36298510330285E-9
